gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Partner_bin,Dependents_bin,PhoneService_bin,PaperlessBilling_bin,Churn_bin,service_count,charge_bucket,tenure_bucket,pred_proba,pred_label,Churn
Female,0,Yes,No,21,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),104.4,2200.25,1,0,1,1,1,7,High,Established,0.5442747677806284,1,1
Male,0,No,No,11,No,No phone service,DSL,No,Yes,No,Yes,No,No,Month-to-month,Yes,Electronic check,35.65,425.1,0,0,0,1,0,3,Low,New,0.4260576501152993,0,0
Male,0,No,Yes,1,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.75,99.75,0,1,1,1,1,6,High,New,0.8330689250944974,1,1
Female,1,Yes,No,55,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,No,No,Month-to-month,No,Electronic check,90.45,5044.8,1,0,1,0,0,5,High,Loyal,0.2620961805864069,0,0
Male,0,No,No,69,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,No,Two year,Yes,Credit card (automatic),97.65,6743.55,0,0,1,1,0,7,High,Loyal,0.057032212856896615,0,0
Female,1,No,No,3,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Electronic check,73.85,196.4,0,0,1,0,0,2,Mid,New,0.6534438674486385,1,0
Male,0,No,No,4,Yes,No,DSL,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,74.4,299.7,0,0,1,1,1,6,Mid,New,0.5344839831792507,1,1
Male,1,No,No,30,Yes,Yes,DSL,No,No,Yes,Yes,Yes,No,Two year,Yes,Credit card (automatic),69.1,2093.9,0,0,1,1,0,6,Mid,Established,0.06279668227220489,0,0
Female,0,No,No,5,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,82.75,417.75,0,0,1,1,0,5,Mid,New,0.6984442130953524,1,0
Female,0,Yes,No,71,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),24.4,1725.4,1,0,1,1,0,3,Low,Loyal,0.007824010281531145,0,0
Female,0,No,No,29,Yes,Yes,DSL,No,Yes,No,No,No,No,One year,Yes,Electronic check,55.25,1620.2,0,0,1,1,0,4,Mid,Established,0.12959807668826664,0,0
Male,0,Yes,No,52,Yes,Yes,DSL,No,Yes,No,Yes,No,No,Month-to-month,No,Bank transfer (automatic),61.35,3169.55,1,0,1,0,0,4,Mid,Loyal,0.07410239068713984,0,0
Male,0,No,No,68,Yes,Yes,DSL,Yes,Yes,Yes,No,No,Yes,One year,No,Credit card (automatic),76.75,5233.25,0,0,1,0,0,6,Mid,Loyal,0.027343129261040485,0,0
Female,0,Yes,Yes,46,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,19.4,967.85,1,1,1,0,0,1,Low,Established,0.005375128618158762,0,0
Male,0,No,No,8,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),54.75,438.05,0,0,1,1,0,3,Mid,New,0.3958940617771218,0,0
Male,0,Yes,No,72,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),19.7,1421.9,1,0,1,0,0,1,Low,Loyal,0.003618190519162303,0,0
Female,0,No,No,17,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),19.9,323.15,0,0,1,0,0,1,Low,Established,0.041477918735129064,0,0
Male,0,No,No,3,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,107.95,318.6,0,0,1,1,0,7,High,New,0.7074229652679606,1,0
Female,1,No,No,2,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),83.8,163.7,0,0,1,1,0,4,Mid,New,0.6910143408490163,1,0
Female,0,No,No,9,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),74.25,639.65,0,0,1,1,1,3,Mid,New,0.45920695764840247,0,1
Female,0,No,No,51,No,No phone service,DSL,No,Yes,Yes,No,Yes,Yes,One year,Yes,Credit card (automatic),56.4,2928.5,0,0,0,1,0,5,Mid,Loyal,0.12427063707855703,0,0
Female,0,Yes,Yes,6,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,20.1,100.35,1,1,1,0,0,1,Low,New,0.03418021189889633,0,0
Female,0,Yes,No,3,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,94.9,273.2,1,0,1,0,0,4,High,New,0.7966936265108813,1,0
Female,1,No,No,17,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,94.2,1608.15,0,0,1,1,0,5,High,Established,0.7628319074417665,1,0
Male,0,Yes,No,30,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,49.9,1441.95,1,0,1,0,0,2,Low,Established,0.23667851359377973,0,0
Male,0,No,No,31,Yes,Yes,DSL,No,Yes,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,71.05,2168.15,0,0,1,1,0,6,Mid,Established,0.2279065960552538,0,0
Female,0,No,No,45,Yes,No,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),81.65,3618.7,0,0,1,0,0,6,Mid,Established,0.014075379266624635,0,0
Male,0,Yes,No,64,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,No,One year,No,Bank transfer (automatic),89.45,5692.65,1,0,1,0,0,5,High,Loyal,0.06600226167038675,0,0
Male,0,No,No,1,Yes,Yes,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,59.85,59.85,0,0,1,1,1,4,Mid,New,0.6465171592906752,1,1
Female,1,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.6,69.6,0,0,1,1,1,2,Mid,New,0.7409813876360373,1,1
Male,1,Yes,Yes,61,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,One year,No,Electronic check,99.0,5969.3,1,1,1,0,0,5,High,Loyal,0.22803389617151362,0,0
Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,19.05,19.05,0,0,1,0,0,1,Low,New,0.19584563746339034,0,0
Male,0,No,No,9,No,No phone service,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,45.4,418.8,0,0,0,1,1,3,Low,New,0.6996089861146753,1,1
Male,0,Yes,Yes,72,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),114.45,8100.55,1,1,1,0,0,8,High,Loyal,0.02979335671245978,0,0
Female,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,19.5,19.5,0,0,1,0,1,1,Low,New,0.19076194948691072,0,1
Female,0,Yes,No,7,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,44.25,313.45,1,0,1,1,0,2,Low,New,0.4134700559752599,0,0
Female,0,Yes,No,66,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,No,No,One year,Yes,Bank transfer (automatic),90.55,6130.95,1,0,1,1,0,6,High,Loyal,0.09041720507354163,0,0
Male,0,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.9,69.9,0,0,1,1,1,2,Mid,New,0.7142276573996716,1,1
Male,0,Yes,Yes,40,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),20.4,745.3,1,1,1,1,0,2,Low,Established,0.03960258002087502,0,0
Male,0,No,No,16,Yes,Yes,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),71.4,1212.1,0,0,1,1,0,6,Mid,Established,0.3286657543494587,0,0
Female,0,No,No,2,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),87.15,183.75,0,0,1,1,1,4,High,New,0.6312892146476207,1,1
Male,0,Yes,No,67,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),24.85,1583.5,1,0,1,0,0,2,Low,Loyal,0.006471928197002745,0,0
Female,0,Yes,No,41,Yes,No,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,Yes,Bank transfer (automatic),104.45,4162.05,1,0,1,1,0,7,High,Established,0.14806102639300806,0,0
Female,0,Yes,Yes,56,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),19.8,1119.9,1,1,1,1,0,2,Low,Loyal,0.008040288154959729,0,0
Female,0,No,No,72,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),116.45,8013.55,0,0,1,1,0,9,High,Loyal,0.04776121970489605,0,0
Female,0,Yes,Yes,3,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),84.75,264.85,1,1,1,1,1,4,High,New,0.6991529791368053,1,1
Female,0,Yes,No,54,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),20.05,1102.4,1,0,1,0,0,1,Low,Loyal,0.007484575476349599,0,0
Male,1,No,No,52,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,110.75,5832.0,0,0,1,1,0,8,High,Loyal,0.5296035078115854,1,0
Female,0,No,No,50,Yes,No,Fiber optic,No,No,Yes,Yes,No,Yes,Two year,Yes,Bank transfer (automatic),89.7,4304.5,0,0,1,1,0,5,High,Loyal,0.07866058739087967,0,0
Male,0,No,No,14,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,89.95,1178.4,0,0,1,1,1,5,High,New,0.6745587664350541,1,1
Male,0,Yes,No,27,Yes,No,DSL,Yes,No,No,No,No,No,One year,No,Credit card (automatic),48.7,1421.75,1,0,1,0,0,2,Low,Established,0.05388980626650788,0,0
Female,1,Yes,No,72,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,Two year,Yes,Bank transfer (automatic),96.6,6827.5,1,0,1,1,0,7,High,Loyal,0.029041211364577893,0,0
Male,0,No,No,62,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,One year,Yes,Credit card (automatic),74.3,4698.05,0,0,1,1,0,6,Mid,Loyal,0.04693503204938065,0,0
Female,0,No,No,12,Yes,No,DSL,No,Yes,No,Yes,No,No,Month-to-month,Yes,Electronic check,54.3,654.5,0,0,1,1,0,4,Mid,New,0.2775257033398445,0,0
Female,1,No,No,44,Yes,No,DSL,No,No,Yes,Yes,Yes,Yes,One year,No,Bank transfer (automatic),74.85,3268.05,0,0,1,0,0,5,Mid,Established,0.051459436546902694,0,0
Male,0,Yes,Yes,54,Yes,No,Fiber optic,No,Yes,No,Yes,No,No,Two year,Yes,Bank transfer (automatic),79.95,4362.05,1,1,1,1,0,4,Mid,Loyal,0.039277752544692776,0,0
Female,0,No,No,68,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),20.05,1386.9,0,0,1,0,0,1,Low,Loyal,0.004099347661324224,0,0
Male,0,No,No,20,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,19.4,415.4,0,0,1,0,0,1,Low,Established,0.08084532651213126,0,0
Male,0,Yes,Yes,50,Yes,Yes,DSL,No,No,Yes,No,No,No,One year,No,Bank transfer (automatic),54.9,2614.1,1,1,1,0,0,3,Mid,Loyal,0.05093296838031292,0,0
Male,0,No,No,58,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),24.45,1513.6,0,0,1,1,0,3,Low,Loyal,0.013451058478327014,0,0
Male,0,Yes,Yes,35,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),89.65,3161.6,1,1,1,1,0,5,High,Established,0.34970823013408786,0,0
Female,0,No,No,2,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,45.4,80.95,0,0,1,1,0,2,Low,New,0.526182291604935,1,0
Male,0,Yes,Yes,63,Yes,Yes,DSL,Yes,No,Yes,Yes,No,Yes,Two year,No,Mailed check,75.7,4676.7,1,1,1,0,0,6,Mid,Loyal,0.011972130881430162,0,0
Female,0,Yes,No,58,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,Yes,Credit card (automatic),110.65,6526.65,1,0,1,1,0,8,High,Loyal,0.19639166013312748,0,0
Female,0,Yes,Yes,27,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,20.55,583.3,1,1,1,1,0,2,Low,Established,0.03514738410252938,0,0
Female,0,Yes,No,71,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),115.15,8078.1,1,0,1,1,0,9,High,Loyal,0.051995567597373296,0,0
Female,0,No,No,63,Yes,No,DSL,No,No,Yes,No,No,Yes,One year,No,Credit card (automatic),58.55,3503.5,0,0,1,0,0,3,Mid,Loyal,0.03544675700633899,0,0
Male,0,Yes,No,71,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),93.25,6669.45,1,0,1,1,0,6,High,Loyal,0.2526038509922917,0,0
Female,1,No,No,41,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,113.2,4689.5,0,0,1,1,1,8,High,Established,0.4536263191803689,0,1
Male,1,No,No,13,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,90.5,1201.15,0,0,1,1,1,4,High,New,0.7630086979092777,1,1
Male,0,No,No,2,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Electronic check,79.0,143.65,0,0,1,0,1,2,Mid,New,0.6953532632860182,1,1
Female,0,Yes,Yes,68,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),19.35,1292.65,1,1,1,1,0,2,Low,Loyal,0.0049323676383737,0,0
Male,0,Yes,Yes,1,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,48.75,48.75,1,1,1,1,0,3,Low,New,0.33826265470775624,0,0
Male,1,No,No,65,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,109.05,7108.2,0,0,1,1,0,8,High,Loyal,0.11712186866505947,0,0
Male,1,Yes,No,72,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),25.0,1802.55,1,0,1,1,0,3,Low,Loyal,0.009015383332844509,0,0
Female,0,No,No,28,Yes,Yes,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),54.9,1505.15,0,0,1,1,0,4,Mid,Established,0.15517158240902373,0,0
Male,0,Yes,Yes,72,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),24.75,1859.1,1,1,1,0,0,2,Low,Loyal,0.0043081375790166325,0,0
Female,0,No,No,2,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,91.15,168.5,0,0,1,1,0,5,High,New,0.635037971697544,1,0
Female,0,No,Yes,18,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),20.15,390.85,0,1,1,0,1,1,Low,Established,0.032330314518069524,0,1
Male,1,Yes,No,60,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,Yes,Electronic check,104.35,6339.45,1,0,1,1,0,7,High,Loyal,0.3671025588562972,0,0
Female,1,No,No,26,Yes,Yes,DSL,No,No,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,66.05,1652.4,0,0,1,1,0,5,Mid,Established,0.31370577176964787,0,0
Male,0,No,Yes,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,71.65,71.65,0,1,1,1,1,2,Mid,New,0.661157792668282,1,1
Female,0,No,No,4,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.35,77.5,0,0,1,0,1,1,Low,New,0.16984057006098058,0,1
Male,0,Yes,Yes,68,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),92.2,6392.85,1,1,1,1,0,9,High,Loyal,0.015993915944595385,0,0
Female,0,No,No,38,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,No,Month-to-month,Yes,Credit card (automatic),84.25,3264.5,0,0,1,1,1,5,High,Established,0.17722057026767504,0,1
Female,1,Yes,No,42,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,One year,Yes,Bank transfer (automatic),105.2,4599.15,1,0,1,1,0,7,High,Established,0.2475030396715919,0,0
Female,0,Yes,No,57,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),19.6,1134.25,1,0,1,1,0,2,Low,Loyal,0.009696706468449392,0,0
Male,0,Yes,No,54,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,30.4,1621.35,1,0,0,0,0,1,Low,Loyal,0.14650696105677735,0,0
Female,0,No,No,12,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic),78.1,947.3,0,0,1,0,1,2,Mid,New,0.5149652742633343,1,1
Female,0,Yes,No,44,Yes,No,DSL,Yes,Yes,Yes,No,No,No,One year,Yes,Mailed check,61.5,2722.2,1,0,1,1,0,5,Mid,Established,0.0300058287906874,0,0
Male,0,Yes,Yes,42,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),69.4,3058.3,1,1,1,1,0,6,Mid,Established,0.09782394451930419,0,0
Male,0,Yes,Yes,72,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),24.75,1769.6,1,1,1,0,0,2,Low,Loyal,0.004322875024864612,0,0
Female,0,Yes,Yes,71,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Mailed check,91.05,6293.75,1,1,1,0,0,8,High,Loyal,0.01045590752567791,0,0
Female,0,Yes,No,19,Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,No,Mailed check,89.65,1761.05,1,0,1,0,1,4,High,Established,0.50015758438045,1,1
Female,0,Yes,No,23,Yes,Yes,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),73.65,1642.75,1,0,1,1,0,6,Mid,Established,0.3049487055476282,0,0
Female,0,No,No,30,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),19.4,578.5,0,0,1,0,0,1,Low,Established,0.011550691825122854,0,0
Male,0,No,No,35,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),26.2,954.9,0,0,1,0,0,2,Low,Established,0.028767175091300265,0,0
Female,0,No,No,10,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,98.7,973.25,0,0,1,1,1,6,High,New,0.7517836462870914,1,1
Male,0,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),43.85,43.85,0,0,1,1,0,2,Low,New,0.4551399163381379,0,0
Male,0,No,No,22,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,69.7,1490.4,0,0,1,1,0,2,Mid,Established,0.4033626330863203,0,0
Male,0,Yes,Yes,7,No,No phone service,DSL,Yes,Yes,Yes,No,No,No,Two year,No,Mailed check,38.55,280.0,1,1,0,0,0,3,Low,New,0.07637658680999063,0,0
Female,0,No,No,36,No,No phone service,DSL,Yes,Yes,Yes,Yes,No,Yes,Two year,Yes,Mailed check,53.1,1901.25,0,0,0,1,0,6,Mid,Established,0.027965476234398528,0,0
Female,0,Yes,Yes,34,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.65,716.4,1,1,1,0,0,1,Low,Established,0.037186361252951376,0,0
Male,0,Yes,Yes,72,Yes,Yes,DSL,Yes,Yes,Yes,No,No,No,Two year,No,Credit card (automatic),64.45,4720.0,1,1,1,0,0,5,Mid,Loyal,0.006775123759115415,0,0
Male,0,Yes,Yes,36,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),25.1,930.95,1,1,1,0,0,2,Low,Established,0.01093736216443424,0,0
Female,0,No,No,1,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Electronic check,76.35,76.35,0,0,1,0,1,2,Mid,New,0.6252991245005092,1,1
Female,0,No,No,23,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,79.15,1676.95,0,0,1,1,1,4,Mid,Established,0.5189017772313407,1,1
Male,1,Yes,No,32,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,85.0,2642.05,1,0,1,1,1,4,High,Established,0.5844727471753852,1,1
Female,0,Yes,Yes,71,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,One year,Yes,Credit card (automatic),95.15,6770.85,1,1,1,1,0,7,High,Loyal,0.04442140663929494,0,0
Female,1,No,No,23,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,79.35,1835.3,0,0,1,1,0,4,Mid,Established,0.5252649215816383,1,0
Male,0,Yes,No,17,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,One year,Yes,Bank transfer (automatic),96.65,1588.25,1,0,1,1,0,5,High,Established,0.39675970773848296,0,0
Male,0,No,No,1,Yes,No,DSL,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,75.5,75.5,0,0,1,1,0,6,Mid,New,0.5572037686811839,1,0
Male,0,Yes,Yes,12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,19.7,258.35,1,1,1,0,0,1,Low,New,0.027686098807523235,0,0
Female,0,Yes,No,72,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),20.5,1502.25,1,0,1,0,0,1,Low,Loyal,0.003506181296330991,0,0
Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,19.2,19.2,0,0,1,0,0,1,Low,New,0.19542600223344733,0,0
Male,1,Yes,No,72,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Two year,No,Bank transfer (automatic),98.35,6929.4,1,0,1,0,0,5,High,Loyal,0.07424462604103053,0,0
Male,0,Yes,Yes,60,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),74.35,4453.3,1,1,1,0,0,2,Mid,Loyal,0.18076023680080539,0,0
Female,0,Yes,Yes,61,No,No phone service,DSL,No,Yes,Yes,Yes,Yes,No,Two year,No,Credit card (automatic),51.35,3244.4,1,1,0,0,0,4,Mid,Loyal,0.013623482073816558,0,0
Female,0,Yes,No,6,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,45.65,323.45,1,0,1,0,0,1,Low,New,0.33176183038938806,0,0
Male,1,Yes,No,32,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,85.3,2661.1,1,0,1,0,1,3,High,Established,0.49178145121094563,0,1
Female,0,No,Yes,31,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),86.55,2697.4,0,1,1,1,1,4,High,Established,0.39252179775626256,0,1
Male,0,No,No,19,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),73.85,1424.5,0,0,1,1,1,3,Mid,Established,0.38141662499776974,0,1
Male,0,Yes,Yes,72,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),20.3,1401.15,1,1,1,0,0,1,Low,Loyal,0.002913141116183732,0,0
Female,0,No,No,32,Yes,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,54.2,1739.6,0,0,1,1,0,4,Mid,Established,0.21745478659316891,0,0
Male,0,Yes,No,65,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,90.65,5931.0,1,0,1,1,0,5,High,Loyal,0.3611559699064714,0,0
Female,0,Yes,Yes,45,No,No phone service,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),50.9,2333.85,1,1,0,1,0,4,Mid,Established,0.12095905509411263,0,0
Male,0,No,No,42,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,25.05,949.85,0,0,1,0,0,2,Low,Established,0.031395819099032,0,0
Male,0,No,No,8,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,74.85,572.45,0,0,1,1,0,3,Mid,New,0.7326072943428232,1,0
Male,0,No,Yes,32,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,20.5,696.8,0,1,1,0,0,1,Low,Established,0.009440358315120802,0,0
Female,1,Yes,No,22,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,Yes,Mailed check,63.55,1381.8,1,0,1,1,0,6,Mid,Established,0.15742808972943217,0,0
Male,1,Yes,No,57,No,No phone service,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,44.85,2572.95,1,0,0,1,1,3,Low,Loyal,0.369129200058108,0,1
Male,0,No,No,1,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,No,Electronic check,47.95,47.95,0,0,1,0,0,2,Low,New,0.3695326931088205,0,0
Male,1,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,45.1,45.1,0,0,1,0,1,1,Low,New,0.48984312308109224,0,1
Female,0,Yes,No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,45.0,45.0,1,0,1,1,0,2,Low,New,0.5450199936711787,1,0
Male,0,No,No,24,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,96.0,2122.45,0,0,1,1,1,5,High,Established,0.5195311490144965,1,1
Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),20.05,20.05,0,0,1,0,1,1,Low,New,0.1819329375580193,0,1
